candidate,seed,role,candidate_args_json,hypothesis,accuracy_baseline,accuracy_candidate,accuracy_delta,macro_f1_baseline,macro_f1_candidate,macro_f1_delta,ece_baseline,ece_candidate,ece_delta,vtvf_cross_errors_baseline,vtvf_cross_errors_candidate,vtvf_cross_errors_delta,total_errors_baseline,total_errors_candidate,total_errors_delta,error_migration_penalty_baseline,error_migration_penalty_candidate,error_migration_penalty_delta
boundary075,42,mechanism_verified_component,"{""boundary_ce_weight"": ""0.75""}",Boundary-risk component verified by the 33-run ablation; tests the lighter 0.75 dose before combining with representation constraints.,0.9298136645962732,0.9356107660455486,0.0057971014492753,0.7051596275666455,0.7181284099359059,0.0129687823692603,0.0443996333557626,0.049414887339432,0.0050152539836694,224.0,216.0,-8.0,339.0,311.0,-28.0,257.5,231.5,-26.0
proto_center_only,42,mechanism_verified_component,"{""prototype_center_weight"": ""0.02""}",Single-component mechanism verified by the 33-run ablation: prototype center compactness tests whether within-class embedding compactness drives the prototype benefit.,0.9298136645962732,0.943064182194617,0.0132505175983437,0.7051596275666455,0.7424850608887449,0.0373254333220993,0.0443996333557626,0.0325734237274521,-0.0118262096283104,224.0,200.0,-24.0,339.0,275.0,-64.0,257.5,214.0,-43.5
proto_margin_only,42,mechanism_verified_component,"{""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Single-component mechanism verified by the 33-run ablation: VT/VF prototype margin tests whether explicit class-center separation is sufficient on its own.,0.9298136645962732,0.9298136645962732,0.0,0.7051596275666455,0.7051596275666455,0.0,0.0443996333557626,0.0443996333557626,0.0,224.0,224.0,0.0,339.0,339.0,0.0,257.5,257.5,0.0
proto_center_margin,42,mechanism_verified_component,"{""prototype_center_weight"": ""0.02"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Prototype center plus VT/VF margin component model from the mechanism-targeted ablation.,0.9298136645962732,0.943064182194617,0.0132505175983437,0.7051596275666455,0.7424850608887449,0.0373254333220993,0.0443996333557626,0.0325734237274521,-0.0118262096283104,224.0,200.0,-24.0,339.0,275.0,-64.0,257.5,214.0,-43.5
boundary075_prototype,42,new_causal_pareto_recombination,"{""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Combine boundary weighting with prototype geometry using a slightly lighter boundary dose.,0.9298136645962732,0.9455486542443065,0.0157349896480332,0.7051596275666455,0.7521277250326525,0.0469680974660069,0.0443996333557626,0.0319048615839663,-0.0124947717717962,224.0,180.0,-44.0,339.0,263.0,-76.0,257.5,195.0,-62.5
boundary075_center,42,mechanism_derived_candidate,"{""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02""}","Mechanism-derived candidate from the 33-run ablation: combine the stable boundary dose with prototype compactness only, because proto_center_only was strong while proto_margin_only was weak as a standalone mechanism.",0.9298136645962732,0.9455486542443065,0.0157349896480332,0.7051596275666455,0.7521277250326525,0.0469680974660069,0.0443996333557626,0.0319048615839663,-0.0124947717717962,224.0,180.0,-44.0,339.0,263.0,-76.0,257.5,195.0,-62.5
boundary050_center,42,mechanism_derived_sensitivity,"{""boundary_ce_weight"": ""0.50"", ""prototype_center_weight"": ""0.02""}",Lower boundary-dose sensitivity check for the mechanism-derived boundary plus center model.,0.9298136645962732,0.9432712215320912,0.0134575569358178,0.7051596275666455,0.7389382000168888,0.0337785724502432,0.0443996333557626,0.0370073890402203,-0.0073922443155422,224.0,202.0,-22.0,339.0,274.0,-65.0,257.5,215.0,-42.5
boundary100_center,42,mechanism_derived_sensitivity,"{""boundary_ce_weight"": ""1.0"", ""prototype_center_weight"": ""0.02""}",Higher boundary-dose sensitivity check for boundary plus center; tests whether stronger boundary weighting reintroduces migration or VT/VF trade-offs.,0.9298136645962732,0.9248447204968944,-0.0049689440993788,0.7051596275666455,0.69685207494323,-0.0083075526234155,0.0443996333557626,0.0482679092982788,0.0038682759425161,224.0,239.0,15.0,339.0,363.0,24.0,257.5,290.5,33.0
boundary075_margin,42,mechanism_derived_component,"{""boundary_ce_weight"": ""0.75"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}","Component test for whether the VT/VF prototype margin adds value when paired with boundary weighting, given that proto_margin_only was weak in the 33-run ablation.",0.9298136645962732,0.9356107660455486,0.0057971014492753,0.7051596275666455,0.7181284099359059,0.0129687823692603,0.0443996333557626,0.049414887339432,0.0050152539836694,224.0,216.0,-8.0,339.0,311.0,-28.0,257.5,231.5,-26.0
boundary075_contrastive,42,mechanism_derived_candidate,"{""boundary_ce_weight"": ""0.75"", ""contrastive_boundary_anchor_weight"": ""2.0"", ""contrastive_vtvf_negative_weight"": ""2.0"", ""contrastive_weight"": ""0.02""}",Mechanism-derived candidate from the strong contrastive_vtvf_light result; tests whether boundary weighting combines better with contrastive local-purity control than prototype plus contrastive did.,0.9298136645962732,0.9304347826086956,0.0006211180124223,0.7051596275666455,0.6870185063545681,-0.0181411212120774,0.0443996333557626,0.058286885827718,0.0138872524719554,224.0,261.0,37.0,339.0,336.0,-3.0,257.5,267.0,9.5
boundary075_center_calibrated,42,mechanism_derived_candidate,"{""anti_confident_risk_weight"": ""0.02"", ""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02"", ""risk_entropy_weight"": ""0.05""}",Calibration add-on for the boundary plus center model; tests whether lightweight entropy and anti-confident-risk terms improve ECE without sacrificing VT/VF safety outcomes.,0.9298136645962732,0.9333333333333332,0.0035196687370601,0.7051596275666455,0.70707311289148,0.0019134853248344,0.0443996333557626,0.0480943951794326,0.00369476182367,224.0,231.0,7.0,339.0,322.0,-17.0,257.5,244.0,-13.5
boundary075,43,mechanism_verified_component,"{""boundary_ce_weight"": ""0.75""}",Boundary-risk component verified by the 33-run ablation; tests the lighter 0.75 dose before combining with representation constraints.,0.8934426229508197,0.9242424242424242,0.0307998012916045,0.6336032800612866,0.6587591057751864,0.0251558257138997,0.0672330073290538,0.0594139782516623,-0.0078190290773914,178.0,171.0,-7.0,429.0,305.0,-124.0,292.5,218.5,-74.0
proto_center_only,43,mechanism_verified_component,"{""prototype_center_weight"": ""0.02""}",Single-component mechanism verified by the 33-run ablation: prototype center compactness tests whether within-class embedding compactness drives the prototype benefit.,0.8934426229508197,0.947839046199702,0.0543964232488822,0.6336032800612866,0.6994442843976117,0.0658410043363251,0.0672330073290538,0.0454648353392604,-0.0217681719897933,178.0,160.0,-18.0,429.0,210.0,-219.0,292.5,160.5,-132.0
proto_margin_only,43,mechanism_verified_component,"{""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Single-component mechanism verified by the 33-run ablation: VT/VF prototype margin tests whether explicit class-center separation is sufficient on its own.,0.8934426229508197,0.8934426229508197,0.0,0.6336032800612866,0.6336032800612866,0.0,0.0672330073290538,0.0672330073290538,0.0,178.0,178.0,0.0,429.0,429.0,0.0,292.5,292.5,0.0
proto_center_margin,43,mechanism_verified_component,"{""prototype_center_weight"": ""0.02"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Prototype center plus VT/VF margin component model from the mechanism-targeted ablation.,0.8934426229508197,0.936661698956781,0.0432190760059613,0.6336032800612866,0.6757764381204733,0.0421731580591866,0.0672330073290538,0.0490424235587799,-0.0181905837702739,178.0,174.0,-4.0,429.0,255.0,-174.0,292.5,195.5,-97.0
boundary075_prototype,43,new_causal_pareto_recombination,"{""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Combine boundary weighting with prototype geometry using a slightly lighter boundary dose.,0.8934426229508197,0.9503229011425732,0.0568802781917535,0.6336032800612866,0.711372089259715,0.0777688091984283,0.0672330073290538,0.0348591001633086,-0.0323739071657451,178.0,177.0,-1.0,429.0,200.0,-229.0,292.5,180.0,-112.5
boundary075_center,43,mechanism_derived_candidate,"{""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02""}","Mechanism-derived candidate from the 33-run ablation: combine the stable boundary dose with prototype compactness only, because proto_center_only was strong while proto_margin_only was weak as a standalone mechanism.",0.8934426229508197,0.9205166418281172,0.0270740188772975,0.6336032800612866,0.6653137354692422,0.0317104554079555,0.0672330073290538,0.0664208229803293,-0.0008121843487245,178.0,173.0,-5.0,429.0,320.0,-109.0,292.5,234.5,-58.0
boundary050_center,43,mechanism_derived_sensitivity,"{""boundary_ce_weight"": ""0.50"", ""prototype_center_weight"": ""0.02""}",Lower boundary-dose sensitivity check for the mechanism-derived boundary plus center model.,0.8934426229508197,0.9446100347739692,0.0511674118231495,0.6336032800612866,0.6946144011652619,0.0610111211039752,0.0672330073290538,0.0429537450266429,-0.0242792623024109,178.0,172.0,-6.0,429.0,223.0,-206.0,292.5,181.0,-111.5
boundary100_center,43,mechanism_derived_sensitivity,"{""boundary_ce_weight"": ""1.0"", ""prototype_center_weight"": ""0.02""}",Higher boundary-dose sensitivity check for boundary plus center; tests whether stronger boundary weighting reintroduces migration or VT/VF trade-offs.,0.8934426229508197,0.9473422752111276,0.053899652260308,0.6336032800612866,0.7072793644538548,0.0736760843925681,0.0672330073290538,0.0334343769348384,-0.0337986303942154,178.0,175.0,-3.0,429.0,212.0,-217.0,292.5,184.5,-108.0
boundary075_margin,43,mechanism_derived_component,"{""boundary_ce_weight"": ""0.75"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}","Component test for whether the VT/VF prototype margin adds value when paired with boundary weighting, given that proto_margin_only was weak in the 33-run ablation.",0.8934426229508197,0.9242424242424242,0.0307998012916045,0.6336032800612866,0.6587591057751864,0.0251558257138997,0.0672330073290538,0.0594139782516623,-0.0078190290773914,178.0,171.0,-7.0,429.0,305.0,-124.0,292.5,218.5,-74.0
boundary075_contrastive,43,mechanism_derived_candidate,"{""boundary_ce_weight"": ""0.75"", ""contrastive_boundary_anchor_weight"": ""2.0"", ""contrastive_vtvf_negative_weight"": ""2.0"", ""contrastive_weight"": ""0.02""}",Mechanism-derived candidate from the strong contrastive_vtvf_light result; tests whether boundary weighting combines better with contrastive local-purity control than prototype plus contrastive did.,0.8934426229508197,0.936661698956781,0.0432190760059613,0.6336032800612866,0.6659155047755215,0.0323122247142348,0.0672330073290538,0.0523436352632795,-0.0148893720657743,178.0,189.0,11.0,429.0,255.0,-174.0,292.5,206.5,-86.0
boundary075_center_calibrated,43,mechanism_derived_candidate,"{""anti_confident_risk_weight"": ""0.02"", ""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02"", ""risk_entropy_weight"": ""0.05""}",Calibration add-on for the boundary plus center model; tests whether lightweight entropy and anti-confident-risk terms improve ECE without sacrificing VT/VF safety outcomes.,0.8934426229508197,0.9093392945851962,0.0158966716343765,0.6336032800612866,0.6436848500717215,0.0100815700104348,0.0672330073290538,0.0550033647254279,-0.0122296426036259,178.0,174.0,-4.0,429.0,365.0,-64.0,292.5,258.0,-34.5
boundary075,44,mechanism_verified_component,"{""boundary_ce_weight"": ""0.75""}",Boundary-risk component verified by the 33-run ablation; tests the lighter 0.75 dose before combining with representation constraints.,0.8520361990950226,0.9108597285067872,0.0588235294117647,0.5344128210514888,0.5653150858125394,0.0309022647610506,0.1146935151578075,0.0717322277132741,-0.0429612874445333,182.0,189.0,7.0,654.0,394.0,-260.0,363.0,230.5,-132.5
proto_center_only,44,mechanism_verified_component,"{""prototype_center_weight"": ""0.02""}",Single-component mechanism verified by the 33-run ablation: prototype center compactness tests whether within-class embedding compactness drives the prototype benefit.,0.8520361990950226,0.9088235294117648,0.0567873303167421,0.5344128210514888,0.5724575672910591,0.0380447462395703,0.1146935151578075,0.0751973176501455,-0.0394961975076619,182.0,162.0,-20.0,654.0,403.0,-251.0,363.0,210.5,-152.5
proto_margin_only,44,mechanism_verified_component,"{""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Single-component mechanism verified by the 33-run ablation: VT/VF prototype margin tests whether explicit class-center separation is sufficient on its own.,0.8520361990950226,0.8816742081447964,0.0296380090497737,0.5344128210514888,0.5402089072314341,0.0057960861799453,0.1146935151578075,0.0935232028971969,-0.0211703122606105,182.0,182.0,0.0,654.0,523.0,-131.0,363.0,282.5,-80.5
proto_center_margin,44,mechanism_verified_component,"{""prototype_center_weight"": ""0.02"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Prototype center plus VT/VF margin component model from the mechanism-targeted ablation.,0.8520361990950226,0.9070135746606336,0.0549773755656108,0.5344128210514888,0.58758753581419,0.0531747147627011,0.1146935151578075,0.0616675077857475,-0.0530260073720599,182.0,164.0,-18.0,654.0,411.0,-243.0,363.0,221.5,-141.5
boundary075_prototype,44,new_causal_pareto_recombination,"{""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}",Combine boundary weighting with prototype geometry using a slightly lighter boundary dose.,0.8520361990950226,0.8746606334841629,0.0226244343891403,0.5344128210514888,0.5385121385689048,0.0040993175174159,0.1146935151578075,0.1046257616977345,-0.0100677534600729,182.0,166.0,-16.0,654.0,554.0,-100.0,363.0,283.0,-80.0
boundary075_center,44,mechanism_derived_candidate,"{""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02""}","Mechanism-derived candidate from the 33-run ablation: combine the stable boundary dose with prototype compactness only, because proto_center_only was strong while proto_margin_only was weak as a standalone mechanism.",0.8520361990950226,0.8877828054298642,0.0357466063348416,0.5344128210514888,0.548498180994668,0.0140853599431791,0.1146935151578075,0.0880281367385548,-0.0266653784192526,182.0,177.0,-5.0,654.0,496.0,-158.0,363.0,271.0,-92.0
boundary050_center,44,mechanism_derived_sensitivity,"{""boundary_ce_weight"": ""0.50"", ""prototype_center_weight"": ""0.02""}",Lower boundary-dose sensitivity check for the mechanism-derived boundary plus center model.,0.8520361990950226,0.8411764705882353,-0.0108597285067872,0.5344128210514888,0.4967760593669384,-0.0376367616845503,0.1146935151578075,0.1212681040032956,0.0065745888454881,182.0,169.0,-13.0,654.0,702.0,48.0,363.0,351.0,-12.0
boundary100_center,44,mechanism_derived_sensitivity,"{""boundary_ce_weight"": ""1.0"", ""prototype_center_weight"": ""0.02""}",Higher boundary-dose sensitivity check for boundary plus center; tests whether stronger boundary weighting reintroduces migration or VT/VF trade-offs.,0.8520361990950226,0.916289592760181,0.0642533936651583,0.5344128210514888,0.5932882672063546,0.0588754461548658,0.1146935151578075,0.0528657665754335,-0.0618277485823739,182.0,158.0,-24.0,654.0,370.0,-284.0,363.0,197.0,-166.0
boundary075_margin,44,mechanism_derived_component,"{""boundary_ce_weight"": ""0.75"", ""prototype_margin_weight"": ""0.05"", ""prototype_vtvf_margin"": ""1.0""}","Component test for whether the VT/VF prototype margin adds value when paired with boundary weighting, given that proto_margin_only was weak in the 33-run ablation.",0.8520361990950226,0.8952488687782806,0.0432126696832579,0.5344128210514888,0.5641406422704844,0.0297278212189956,0.1146935151578075,0.0887590165051939,-0.0259344986526135,182.0,126.0,-56.0,654.0,463.0,-191.0,363.0,198.5,-164.5
boundary075_contrastive,44,mechanism_derived_candidate,"{""boundary_ce_weight"": ""0.75"", ""contrastive_boundary_anchor_weight"": ""2.0"", ""contrastive_vtvf_negative_weight"": ""2.0"", ""contrastive_weight"": ""0.02""}",Mechanism-derived candidate from the strong contrastive_vtvf_light result; tests whether boundary weighting combines better with contrastive local-purity control than prototype plus contrastive did.,0.8520361990950226,0.8739819004524887,0.021945701357466,0.5344128210514888,0.5466532546949284,0.0122404336434396,0.1146935151578075,0.0986202721277513,-0.0160732430300561,182.0,177.0,-5.0,654.0,557.0,-97.0,363.0,305.0,-58.0
boundary075_center_calibrated,44,mechanism_derived_candidate,"{""anti_confident_risk_weight"": ""0.02"", ""boundary_ce_weight"": ""0.75"", ""prototype_center_weight"": ""0.02"", ""risk_entropy_weight"": ""0.05""}",Calibration add-on for the boundary plus center model; tests whether lightweight entropy and anti-confident-risk terms improve ECE without sacrificing VT/VF safety outcomes.,0.8520361990950226,0.8773755656108597,0.0253393665158371,0.5344128210514888,0.5388204128418702,0.0044075917903814,0.1146935151578075,0.0814976506373462,-0.0331958645204613,182.0,190.0,8.0,654.0,542.0,-112.0,363.0,310.0,-53.0
